Orthogroup	Populus_trichocarpa	Salix_dunnii
OG0000000	Populus_trichocarpa|Potri.001G412300	Salix_dunnii|Safaf16G0274300
OG0000000	Populus_trichocarpa|Potri.011G126151	Salix_dunnii|Safaf11G0093400
OG0000000	Populus_trichocarpa|Potri.011G128600, Populus_trichocarpa|Potri.011G128650, Populus_trichocarpa|Potri.011G126201, Populus_trichocarpa|Potri.011G128700, Populus_trichocarpa|Potri.011G128800, Populus_trichocarpa|Potri.011G125901	Salix_dunnii|Safaf11G0092800, Salix_dunnii|Safaf11G0093100
OG0000000	Populus_trichocarpa|Potri.001G412454	Salix_dunnii|Safaf16G0274500
OG0000000	Populus_trichocarpa|Potri.001G413400, Populus_trichocarpa|Potri.001G413000, Populus_trichocarpa|Potri.001G413300	Salix_dunnii|Safaf16G0273500
OG0000000	Populus_trichocarpa|Potri.011G126101, Populus_trichocarpa|Potri.011G125751, Populus_trichocarpa|Potri.011G126001	Salix_dunnii|Safaf11G0093200, Salix_dunnii|Safaf11G0093000
OG0000000	Populus_trichocarpa|Potri.011G125851, Populus_trichocarpa|Potri.001G412700	Salix_dunnii|Safaf16G0274100
OG0000000	Populus_trichocarpa|Potri.010G015400, Populus_trichocarpa|Potri.010G017100, Populus_trichocarpa|Potri.010G020200, Populus_trichocarpa|Potri.010G017800, Populus_trichocarpa|Potri.010G018600, Populus_trichocarpa|Potri.010G017450, Populus_trichocarpa|Potri.010G015800, Populus_trichocarpa|Potri.010G020300, Populus_trichocarpa|Potri.010G018200, Populus_trichocarpa|Potri.010G017600, Populus_trichocarpa|Potri.010G017900, Populus_trichocarpa|Potri.010G018300, Populus_trichocarpa|Potri.010G018400	Salix_dunnii|Safaf10G0009700, Salix_dunnii|Safaf10G0009600
OG0000000	Populus_trichocarpa|Potri.011G125601	Salix_dunnii|Safaf11G0092400
OG0000000	Populus_trichocarpa|Potri.001G413700	Salix_dunnii|Safaf16G0273000
OG0000000	Populus_trichocarpa|Potri.001G413800	Salix_dunnii|Safaf16G0272900
OG0000001	Populus_trichocarpa|Potri.018G127300	Salix_dunnii|Safaf06G0049000, Salix_dunnii|Safaf18G0099700
OG0000001	Populus_trichocarpa|Potri.003G105400	Salix_dunnii|Safaf03G0075400
OG0000001	Populus_trichocarpa|Potri.001G128500	Salix_dunnii|Safaf01G0103400
OG0000001	Populus_trichocarpa|Potri.006G141500	Salix_dunnii|Safaf06G0116300
OG0000001	Populus_trichocarpa|Potri.006G219300	Salix_dunnii|Safaf06G0173000
OG0000001	Populus_trichocarpa|Potri.018G149100	Salix_dunnii|Safaf06G0049100, Salix_dunnii|Safaf18G0115300
OG0000001	Populus_trichocarpa|Potri.006G079600	Salix_dunnii|Safaf06G0060800
OG0000001	Populus_trichocarpa|Potri.001G002300	Salix_dunnii|Safaf03G0167900
OG0000001	Populus_trichocarpa|Potri.009G167400	Salix_dunnii|Safaf09G0134300
OG0000001	Populus_trichocarpa|Potri.007G062700	Salix_dunnii|Safaf07G0056200
OG0000001	Populus_trichocarpa|Potri.005G100900	Salix_dunnii|Safaf05G0073300
OG0000001	Populus_trichocarpa|Potri.005G251900	Salix_dunnii|Safaf05G0192300
OG0000001	Populus_trichocarpa|Potri.009G020700	Salix_dunnii|Safaf09G0013700
OG0000001	Populus_trichocarpa|Potri.010G203400, Populus_trichocarpa|Potri.008G056400, Populus_trichocarpa|Potri.016G094300, Populus_trichocarpa|Potri.001G240400, Populus_trichocarpa|Potri.009G031300	Salix_dunnii|Safaf04G0095600
OG0000001	Populus_trichocarpa|Potri.004G129000	Salix_dunnii|Safaf04G0092400
OG0000002	Populus_trichocarpa|Potri.019G063400	Salix_dunnii|Safaf19G0071000
OG0000002	Populus_trichocarpa|Potri.001G461900, Populus_trichocarpa|Potri.001G461700, Populus_trichocarpa|Potri.011G157900, Populus_trichocarpa|Potri.001G461500, Populus_trichocarpa|Potri.001G462000, Populus_trichocarpa|Potri.001G461800, Populus_trichocarpa|Potri.001G462100	Salix_dunnii|Safaf11G0118000
OG0000003	Populus_trichocarpa|Potri.015G041300	Salix_dunnii|Safaf15G0034900
OG0000003	Populus_trichocarpa|Potri.012G049300	Salix_dunnii|Safaf12G0036800
OG0000003	Populus_trichocarpa|Potri.001G403900	Salix_dunnii|Safaf16G0267200
OG0000003	Populus_trichocarpa|Potri.004G019300, Populus_trichocarpa|Potri.004G019366, Populus_trichocarpa|Potri.004G019500, Populus_trichocarpa|Potri.004G019700, Populus_trichocarpa|Potri.004G019800	Salix_dunnii|Safaf04G0011400
OG0000003	Populus_trichocarpa|Potri.010G178800	Salix_dunnii|Safaf10G0135700
OG0000003	Populus_trichocarpa|Potri.008G094200	Salix_dunnii|Safaf08G0075600
OG0000003	Populus_trichocarpa|Potri.001G409900	Salix_dunnii|Safaf16G0277300
OG0000003	Populus_trichocarpa|Potri.004G040700	Salix_dunnii|Safaf04G0026000
OG0000003	Populus_trichocarpa|Potri.005G059500	Salix_dunnii|Safaf05G0036200
OG0000003	Populus_trichocarpa|Potri.001G225808, Populus_trichocarpa|Potri.001G226100, Populus_trichocarpa|Potri.001G226200	Salix_dunnii|Safaf16G0120400
OG0000003	Populus_trichocarpa|Potri.001G223500, Populus_trichocarpa|Potri.002G219600, Populus_trichocarpa|Potri.001G223800, Populus_trichocarpa|Potri.001G223900, Populus_trichocarpa|Potri.001G224000, Populus_trichocarpa|Potri.001G223720, Populus_trichocarpa|Potri.001G223724, Populus_trichocarpa|Potri.001G223700, Populus_trichocarpa|Potri.001G223716, Populus_trichocarpa|Potri.001G223704, Populus_trichocarpa|Potri.001G223708, Populus_trichocarpa|Potri.001G223712, Populus_trichocarpa|Potri.001G222800	Salix_dunnii|Safaf16G0118000, Salix_dunnii|Safaf16G0118700, Salix_dunnii|Safaf16G0118300, Salix_dunnii|Safaf16G0118500
OG0000003	Populus_trichocarpa|Potri.004G109166, Populus_trichocarpa|Potri.004G110620, Populus_trichocarpa|Potri.004G110691, Populus_trichocarpa|Potri.001G222704, Populus_trichocarpa|Potri.001G223300, Populus_trichocarpa|Potri.001G222904, Populus_trichocarpa|Potri.001G222900	Salix_dunnii|SafafUnG0003700, Salix_dunnii|Safaf19G0047100, Salix_dunnii|Safaf16G0117800, Salix_dunnii|Safaf16G0064900, Salix_dunnii|Safaf16G0064600, Salix_dunnii|Safaf16G0065000, Salix_dunnii|Safaf16G0064700
OG0000004	Populus_trichocarpa|Potri.010G000101	Salix_dunnii|Safaf17G0055900, Salix_dunnii|Safaf05G0073600, Salix_dunnii|Safaf07G0000100, Salix_dunnii|Safaf03G0079300, Salix_dunnii|Safaf19G0021100, Salix_dunnii|Safaf19G0005700
OG0000004	Populus_trichocarpa|Potri.004G127001, Populus_trichocarpa|Potri.005G153775, Populus_trichocarpa|Potri.010G032101, Populus_trichocarpa|Potri.010G033266, Populus_trichocarpa|Potri.002G209244, Populus_trichocarpa|Potri.019G047420, Populus_trichocarpa|Potri.019G047360, Populus_trichocarpa|Potri.010G033133, Populus_trichocarpa|Potri.003G046951, Populus_trichocarpa|Potri.015G051632, Populus_trichocarpa|Potri.015G051201, Populus_trichocarpa|Potri.016G094901, Populus_trichocarpa|Potri.005G151350, Populus_trichocarpa|Potri.003G047051, Populus_trichocarpa|Potri.017G066550, Populus_trichocarpa|Potri.012G064001, Populus_trichocarpa|Potri.015G051101, Populus_trichocarpa|Potri.007G062662, Populus_trichocarpa|Potri.005G151275, Populus_trichocarpa|Potri.003G047001, Populus_trichocarpa|Potri.012G063901, Populus_trichocarpa|Potri.009G000601, Populus_trichocarpa|Potri.016G095001, Populus_trichocarpa|Potri.002G209988, Populus_trichocarpa|Potri.004G128860, Populus_trichocarpa|Potri.004G128880, Populus_trichocarpa|Potri.004G128921, Populus_trichocarpa|Potri.004G128941, Populus_trichocarpa|Potri.004G128961, Populus_trichocarpa|Potri.004G128901, Populus_trichocarpa|Potri.004G128840, Populus_trichocarpa|Potri.019G047975	Salix_dunnii|Safaf08G0089800
OG0000004	Populus_trichocarpa|Potri.T124302	Salix_dunnii|Safaf16G0072200
OG0000005	Populus_trichocarpa|Potri.007G023300	Salix_dunnii|Safaf07G0020200
OG0000005	Populus_trichocarpa|Potri.004G156400, Populus_trichocarpa|Potri.009G102700	Salix_dunnii|Safaf09G0083400
OG0000005	Populus_trichocarpa|Potri.008G064000	Salix_dunnii|Safaf08G0051400
OG0000005	Populus_trichocarpa|Potri.006G097100, Populus_trichocarpa|Potri.006G097000, Populus_trichocarpa|Potri.006G096900	Salix_dunnii|Safaf06G0076200, Salix_dunnii|Safaf06G0076100
OG0000005	Populus_trichocarpa|Potri.016G112000	Salix_dunnii|Safaf16G0094200
OG0000005	Populus_trichocarpa|Potri.009G042500	Salix_dunnii|Safaf09G0032600
OG0000005	Populus_trichocarpa|Potri.001G248700	Salix_dunnii|Safaf16G0138100
OG0000005	Populus_trichocarpa|Potri.012G048900, Populus_trichocarpa|Potri.015G040400, Populus_trichocarpa|Potri.015G040600, Populus_trichocarpa|Potri.015G040700	Salix_dunnii|Safaf15G0034500
OG0000005	Populus_trichocarpa|Potri.013G152700	Salix_dunnii|Safaf13G0118100
OG0000005	Populus_trichocarpa|Potri.019G124300	Salix_dunnii|Safaf19G0113100
OG0000005	Populus_trichocarpa|Potri.008G073700	Salix_dunnii|Safaf08G0059200
OG0000005	Populus_trichocarpa|Potri.010G183600	Salix_dunnii|Safaf10G0139700
OG0000005	Populus_trichocarpa|Potri.008G073800	Salix_dunnii|Safaf08G0059400
OG0000005	Populus_trichocarpa|Potri.014G100600	Salix_dunnii|Safaf14G0071700
OG0000005	Populus_trichocarpa|Potri.001G341600	Salix_dunnii|Safaf16G0218400
OG0000005	Populus_trichocarpa|Potri.001G054600	Salix_dunnii|Safaf01G0041800
OG0000005	Populus_trichocarpa|Potri.001G401300	Salix_dunnii|Safaf16G0264500, Salix_dunnii|Safaf16G0264800
OG0000005	Populus_trichocarpa|Potri.011G120200, Populus_trichocarpa|Potri.011G120300	Salix_dunnii|Safaf11G0082400
OG0000005	Populus_trichocarpa|Potri.006G087100	Salix_dunnii|Safaf06G0067100
OG0000005	Populus_trichocarpa|Potri.009G156600, Populus_trichocarpa|Potri.009G156800, Populus_trichocarpa|Potri.001G184300, Populus_trichocarpa|Potri.009G034500	Salix_dunnii|Safaf09G0025400, Salix_dunnii|Safaf09G0025500
OG0000005	Populus_trichocarpa|Potri.006G087500	Salix_dunnii|Safaf06G0067400
OG0000006	Populus_trichocarpa|Potri.001G465100, Populus_trichocarpa|Potri.011G163300, Populus_trichocarpa|Potri.011G163216	Salix_dunnii|Safaf11G0119600
OG0000006	Populus_trichocarpa|Potri.011G163800, Populus_trichocarpa|Potri.011G163200, Populus_trichocarpa|Potri.011G162932	Salix_dunnii|Safaf11G0119900
OG0000006	Populus_trichocarpa|Potri.009G140350, Populus_trichocarpa|Potri.009G140400	Salix_dunnii|Safaf09G0114500, Salix_dunnii|Safaf09G0114400, Salix_dunnii|Safaf09G0114600
OG0000006	Populus_trichocarpa|Potri.004G180100, Populus_trichocarpa|Potri.004G179833, Populus_trichocarpa|Potri.004G179844, Populus_trichocarpa|Potri.004G179855, Populus_trichocarpa|Potri.004G179888, Populus_trichocarpa|Potri.004G179800, Populus_trichocarpa|Potri.004G179811, Populus_trichocarpa|Potri.004G179900	Salix_dunnii|Safaf04G0128800, Salix_dunnii|Safaf04G0129100
OG0000006	Populus_trichocarpa|Potri.004G180200, Populus_trichocarpa|Potri.004G180000	Salix_dunnii|Safaf04G0128900
OG0000006	Populus_trichocarpa|Potri.019G026700, Populus_trichocarpa|Potri.019G026400, Populus_trichocarpa|Potri.019G026500, Populus_trichocarpa|Potri.019G025800, Populus_trichocarpa|Potri.019G025900, Populus_trichocarpa|Potri.019G026000, Populus_trichocarpa|Potri.019G026200	Salix_dunnii|Safaf13G0042300, Salix_dunnii|Safaf13G0042600, Salix_dunnii|Safaf13G0042500
OG0000006	Populus_trichocarpa|Potri.013G052300, Populus_trichocarpa|Potri.013G051901, Populus_trichocarpa|Potri.013G052000, Populus_trichocarpa|Potri.013G052100	Salix_dunnii|Safaf13G0042700, Salix_dunnii|Safaf13G0042800, Salix_dunnii|Safaf13G0043100, Salix_dunnii|Safaf13G0043200, Salix_dunnii|Safaf13G0043400, Salix_dunnii|Safaf13G0043500, Salix_dunnii|Safaf13G0043000, Salix_dunnii|Safaf13G0043300, Salix_dunnii|Safaf13G0043600
OG0000006	Populus_trichocarpa|Potri.013G051800, Populus_trichocarpa|Potri.013G051600, Populus_trichocarpa|Potri.013G051700, Populus_trichocarpa|Potri.013G062950, Populus_trichocarpa|Potri.013G063001, Populus_trichocarpa|Potri.013G063100, Populus_trichocarpa|Potri.013G063050, Populus_trichocarpa|Potri.013G064100, Populus_trichocarpa|Potri.013G063051, Populus_trichocarpa|Potri.013G063101, Populus_trichocarpa|Potri.013G063200	Salix_dunnii|Safaf13G0052200, Salix_dunnii|Safaf13G0052300, Salix_dunnii|Safaf13G0052000, Salix_dunnii|Safaf13G0052100
OG0000007	Populus_trichocarpa|Potri.014G195100, Populus_trichocarpa|Potri.002G258400, Populus_trichocarpa|Potri.002G258200, Populus_trichocarpa|Potri.002G258000	Salix_dunnii|Safaf02G0204600, Salix_dunnii|Safaf02G0204700
OG0000007	Populus_trichocarpa|Potri.002G007925, Populus_trichocarpa|Potri.002G008175, Populus_trichocarpa|Potri.002G008100, Populus_trichocarpa|Potri.002G008450, Populus_trichocarpa|Potri.002G008375	Salix_dunnii|Safaf02G0006000
OG0000007	Populus_trichocarpa|Potri.003G108200	Salix_dunnii|Safaf03G0078000
OG0000007	Populus_trichocarpa|Potri.019G099200	Salix_dunnii|Safaf19G0100900
OG0000007	Populus_trichocarpa|Potri.012G124100	Salix_dunnii|Safaf15G0105300, Salix_dunnii|Safaf12G0096300
OG0000007	Populus_trichocarpa|Potri.015G122900, Populus_trichocarpa|Potri.015G123100, Populus_trichocarpa|Potri.015G123400, Populus_trichocarpa|Potri.006G261900, Populus_trichocarpa|Potri.015G123700, Populus_trichocarpa|Potri.015G124400, Populus_trichocarpa|Potri.015G124100, Populus_trichocarpa|Potri.015G123800	Salix_dunnii|Safaf15G0105600, Salix_dunnii|Safaf15G0105100
OG0000007	Populus_trichocarpa|Potri.012G124300	Salix_dunnii|Safaf12G0095900, Salix_dunnii|Safaf12G0096200
OG0000007	Populus_trichocarpa|Potri.019G120700, Populus_trichocarpa|Potri.019G120733, Populus_trichocarpa|Potri.019G060400, Populus_trichocarpa|Potri.019G059600, Populus_trichocarpa|Potri.019G060042, Populus_trichocarpa|Potri.019G060168, Populus_trichocarpa|Potri.019G059550, Populus_trichocarpa|Potri.019G060084, Populus_trichocarpa|Potri.019G060252, Populus_trichocarpa|Potri.019G060650, Populus_trichocarpa|Potri.019G122500	Salix_dunnii|Safaf19G0111900, Salix_dunnii|Safaf19G0111400, Salix_dunnii|Safaf19G0111600
OG0000008	Populus_trichocarpa|Potri.001G205601, Populus_trichocarpa|Potri.008G196901, Populus_trichocarpa|Potri.008G189300, Populus_trichocarpa|Potri.014G056100, Populus_trichocarpa|Potri.001G370432, Populus_trichocarpa|Potri.004G127420, Populus_trichocarpa|Potri.008G074066, Populus_trichocarpa|Potri.008G217500, Populus_trichocarpa|Potri.001G339400, Populus_trichocarpa|Potri.007G118701, Populus_trichocarpa|Potri.001G391600, Populus_trichocarpa|Potri.013G071200, Populus_trichocarpa|Potri.010G190650, Populus_trichocarpa|Potri.014G061450, Populus_trichocarpa|Potri.008G209401, Populus_trichocarpa|Potri.005G127650, Populus_trichocarpa|Potri.006G116400	Salix_dunnii|Safaf12G0063500
OG0000009	Populus_trichocarpa|Potri.011G068500	Salix_dunnii|Safaf11G0044200
OG0000009	Populus_trichocarpa|Potri.011G140901	Salix_dunnii|Safaf11G0103200, Salix_dunnii|Safaf11G0103300
OG0000009	Populus_trichocarpa|Potri.016G029800, Populus_trichocarpa|Potri.016G029900	Salix_dunnii|Safaf16G0027100
OG0000009	Populus_trichocarpa|Potri.004G060100, Populus_trichocarpa|Potri.005G037400	Salix_dunnii|Safaf05G0022800, Salix_dunnii|Safaf05G0022200
OG0000010	Populus_trichocarpa|Potri.008G214723	Salix_dunnii|Safaf16G0246800
OG0000010	Populus_trichocarpa|Potri.019G047850	Salix_dunnii|Safaf16G0069400
OG0000011	Populus_trichocarpa|Potri.001G405025, Populus_trichocarpa|Potri.001G404800, Populus_trichocarpa|Potri.001G405100	Salix_dunnii|Safaf16G0267900
OG0000012	Populus_trichocarpa|Potri.007G126100	Salix_dunnii|Safaf07G0108200
OG0000012	Populus_trichocarpa|Potri.017G034500	Salix_dunnii|Safaf17G0019400, Salix_dunnii|Safaf17G0019200, Salix_dunnii|Safaf17G0020200
OG0000012	Populus_trichocarpa|Potri.007G141125, Populus_trichocarpa|Potri.004G179400, Populus_trichocarpa|Potri.007G141450, Populus_trichocarpa|Potri.007G117050	Salix_dunnii|Safaf17G0043800, Salix_dunnii|Safaf17G0043500, Salix_dunnii|SafafUnG0009700, Salix_dunnii|Safaf07G0121400, Salix_dunnii|Safaf07G0121800, Salix_dunnii|Safaf07G0120800, Salix_dunnii|Safaf07G0120700, Salix_dunnii|Safaf07G0121300, Salix_dunnii|Safaf07G0121200
OG0000012	Populus_trichocarpa|Potri.007G140800	Salix_dunnii|Safaf07G0091600
OG0000012	Populus_trichocarpa|Potri.017G008901	Salix_dunnii|Safaf17G0000700, Salix_dunnii|Safaf17G0000800, Salix_dunnii|Safaf17G0001200, Salix_dunnii|Safaf17G0001100, Salix_dunnii|Safaf17G0045000, Salix_dunnii|Safaf17G0045500, Salix_dunnii|Safaf17G0045300, Salix_dunnii|Safaf17G0045400, Salix_dunnii|Safaf17G0000500, Salix_dunnii|Safaf17G0001300
OG0000013	Populus_trichocarpa|Potri.017G140000	Salix_dunnii|Safaf17G0128200
OG0000013	Populus_trichocarpa|Potri.004G080200	Salix_dunnii|Safaf04G0055000
OG0000013	Populus_trichocarpa|Potri.001G112900	Salix_dunnii|Safaf01G0089600
OG0000013	Populus_trichocarpa|Potri.017G092700	Salix_dunnii|Safaf17G0090300
OG0000013	Populus_trichocarpa|Potri.005G244100	Salix_dunnii|Safaf05G0185400
OG0000013	Populus_trichocarpa|Potri.002G017900	Salix_dunnii|Safaf02G0014700
OG0000013	Populus_trichocarpa|Potri.002G184700	Salix_dunnii|Safaf02G0151500
OG0000013	Populus_trichocarpa|Potri.006G108000, Populus_trichocarpa|Potri.016G135200	Salix_dunnii|Safaf04G0161400
OG0000013	Populus_trichocarpa|Potri.019G057500	Salix_dunnii|Safaf19G0066900
OG0000013	Populus_trichocarpa|Potri.013G154700	Salix_dunnii|Safaf13G0120700
OG0000013	Populus_trichocarpa|Potri.013G060800	Salix_dunnii|Safaf13G0050600
OG0000013	Populus_trichocarpa|Potri.001G001100	Salix_dunnii|Safaf01G0001400
OG0000013	Populus_trichocarpa|Potri.004G123200, Populus_trichocarpa|Potri.017G085300	Salix_dunnii|Safaf17G0084300
OG0000013	Populus_trichocarpa|Potri.008G088300	Salix_dunnii|Safaf08G0070700
OG0000013	Populus_trichocarpa|Potri.010G167200	Salix_dunnii|Safaf10G0126400
OG0000013	Populus_trichocarpa|Potri.006G086100	Salix_dunnii|Safaf06G0066300
OG0000013	Populus_trichocarpa|Potri.010G202500	Salix_dunnii|Safaf10G0156500
OG0000013	Populus_trichocarpa|Potri.008G057100	Salix_dunnii|Safaf08G0045000
OG0000013	Populus_trichocarpa|Potri.009G031800	Salix_dunnii|Safaf09G0023400
OG0000013	Populus_trichocarpa|Potri.001G240900	Salix_dunnii|Safaf16G0131900
OG0000014	Populus_trichocarpa|Potri.011G145800	Salix_dunnii|Safaf11G0107800
OG0000014	Populus_trichocarpa|Potri.009G170100, Populus_trichocarpa|Potri.004G209000	Salix_dunnii|Safaf04G0150100
OG0000014	Populus_trichocarpa|Potri.005G257600	Salix_dunnii|Safaf05G0197000
OG0000014	Populus_trichocarpa|Potri.004G209100	Salix_dunnii|Safaf04G0150200
OG0000014	Populus_trichocarpa|Potri.008G011800	Salix_dunnii|Safaf08G0007200
OG0000014	Populus_trichocarpa|Potri.009G158400, Populus_trichocarpa|Potri.004G196300	Salix_dunnii|Safaf09G0127600
OG0000014	Populus_trichocarpa|Potri.008G199300	Salix_dunnii|Safaf08G0174300
OG0000014	Populus_trichocarpa|Potri.010G029000	Salix_dunnii|Safaf10G0012300
OG0000014	Populus_trichocarpa|Potri.016G059150, Populus_trichocarpa|Potri.016G058500, Populus_trichocarpa|Potri.016G058700	Salix_dunnii|Safaf16G0053300, Salix_dunnii|Safaf16G0053400
OG0000014	Populus_trichocarpa|Potri.003G207100	Salix_dunnii|Safaf03G0159400
OG0000014	Populus_trichocarpa|Potri.003G110300	Salix_dunnii|Safaf03G0079700
OG0000014	Populus_trichocarpa|Potri.006G020600	Salix_dunnii|Safaf06G0014300
OG0000014	Populus_trichocarpa|Potri.016G018300	Salix_dunnii|Safaf16G0019900
OG0000014	Populus_trichocarpa|Potri.006G020700	Salix_dunnii|Safaf06G0014400
OG0000014	Populus_trichocarpa|Potri.006G256300	Salix_dunnii|Safaf06G0206400
OG0000014	Populus_trichocarpa|Potri.001G201600	Salix_dunnii|Safaf01G0168100
OG0000014	Populus_trichocarpa|Potri.003G031400	Salix_dunnii|Safaf03G0018400
OG0000014	Populus_trichocarpa|Potri.003G031200	Salix_dunnii|Safaf03G0018300
OG0000015	Populus_trichocarpa|Potri.012G005600, Populus_trichocarpa|Potri.012G013435, Populus_trichocarpa|Potri.012G010101, Populus_trichocarpa|Potri.012G007901, Populus_trichocarpa|Potri.012G009900, Populus_trichocarpa|Potri.012G010300	Salix_dunnii|Safaf12G0001400, Salix_dunnii|Safaf12G0001000, Salix_dunnii|Safaf12G0001600, Salix_dunnii|Safaf12G0001700, Salix_dunnii|Safaf12G0001100, Salix_dunnii|Safaf12G0002100, Salix_dunnii|Safaf12G0001200
OG0000015	Populus_trichocarpa|Potri.012G025300	Salix_dunnii|Safaf12G0007600
OG0000015	Populus_trichocarpa|Potri.011G104900, Populus_trichocarpa|Potri.011G104700, Populus_trichocarpa|Potri.011G105150, Populus_trichocarpa|Potri.011G104600	Salix_dunnii|Safaf11G0058400, Salix_dunnii|Safaf11G0058000, Salix_dunnii|Safaf11G0058200, Salix_dunnii|Safaf11G0058900, Salix_dunnii|Safaf11G0058800, Salix_dunnii|Safaf11G0057900
OG0000015	Populus_trichocarpa|Potri.012G027400, Populus_trichocarpa|Potri.011G055000, Populus_trichocarpa|Potri.012G010445, Populus_trichocarpa|Potri.012G008911, Populus_trichocarpa|Potri.012G012535, Populus_trichocarpa|Potri.012G014625, Populus_trichocarpa|Potri.012G008300, Populus_trichocarpa|Potri.012G030125, Populus_trichocarpa|Potri.010G009400, Populus_trichocarpa|Potri.012G026000, Populus_trichocarpa|Potri.010G009750, Populus_trichocarpa|Potri.012G028600, Populus_trichocarpa|Potri.012G026900, Populus_trichocarpa|Potri.012G009200, Populus_trichocarpa|Potri.012G028366, Populus_trichocarpa|Potri.012G021940, Populus_trichocarpa|Potri.012G016715, Populus_trichocarpa|Potri.012G025400, Populus_trichocarpa|Potri.012G027600, Populus_trichocarpa|Potri.012G028101, Populus_trichocarpa|Potri.012G028500, Populus_trichocarpa|Potri.012G007932, Populus_trichocarpa|Potri.010G010100, Populus_trichocarpa|Potri.012G007800, Populus_trichocarpa|Potri.012G031251, Populus_trichocarpa|Potri.011G054500, Populus_trichocarpa|Potri.011G055200, Populus_trichocarpa|Potri.012G025100, Populus_trichocarpa|Potri.012G008666, Populus_trichocarpa|Potri.012G029000	Salix_dunnii|Safaf12G0004300, Salix_dunnii|Safaf12G0038300
OG0000016	Populus_trichocarpa|Potri.018G148300	Salix_dunnii|Safaf18G0113600, Salix_dunnii|Safaf18G0114800, Salix_dunnii|Safaf18G0113800, Salix_dunnii|Safaf18G0114000, Salix_dunnii|Safaf18G0059800
OG0000016	Populus_trichocarpa|Potri.001G039450	Salix_dunnii|Safaf01G0029900
OG0000017	Populus_trichocarpa|Potri.008G062400	Salix_dunnii|Safaf08G0050000
OG0000017	Populus_trichocarpa|Potri.017G052000, Populus_trichocarpa|Potri.017G052100, Populus_trichocarpa|Potri.017G052400, Populus_trichocarpa|Potri.017G052232	Salix_dunnii|Safaf17G0047900, Salix_dunnii|Safaf17G0047800
OG0000018	Populus_trichocarpa|Potri.004G194000	Salix_dunnii|Safaf04G0140200
OG0000018	Populus_trichocarpa|Potri.012G024300, Populus_trichocarpa|Potri.015G007100, Populus_trichocarpa|Potri.016G077200	Salix_dunnii|Safaf16G0069100
OG0000018	Populus_trichocarpa|Potri.014G115100	Salix_dunnii|Safaf14G0084900
OG0000018	Populus_trichocarpa|Potri.005G198700	Salix_dunnii|Safaf05G0145300
OG0000018	Populus_trichocarpa|Potri.016G088100	Salix_dunnii|Safaf07G0105600
OG0000018	Populus_trichocarpa|Potri.004G174175	Salix_dunnii|Safaf17G0021100
OG0000018	Populus_trichocarpa|Potri.004G021500	Salix_dunnii|Safaf04G0012600
OG0000018	Populus_trichocarpa|Potri.001G263000	Salix_dunnii|Safaf16G0150400
OG0000018	Populus_trichocarpa|Potri.006G129600	Salix_dunnii|Safaf16G0280700
OG0000018	Populus_trichocarpa|Potri.011G134200	Salix_dunnii|Safaf11G0097700
OG0000018	Populus_trichocarpa|Potri.011G026600	Salix_dunnii|Safaf07G0105400
OG0000019	Populus_trichocarpa|Potri.012G013700	Salix_dunnii|Safaf12G0014000
OG0000019	Populus_trichocarpa|Potri.012G013501	Salix_dunnii|Safaf12G0014600
